listed_in,COUNT(listed_in)
"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",4
"Music & Musicals, Stand-Up Comedy",4
"Action & Adventure, Children & Family Movies, Classic Movies",4
"Cult Movies, Horror Movies",4
"Classic Movies, Documentaries",4
"Comedies, Dramas, Music & Musicals",3
"Action & Adventure, Classic Movies, Cult Movies",3
"Classic Movies, Dramas, Independent Movies",3
"Action & Adventure, Comedies, Independent Movies",3
"Action & Adventure, Horror Movies",3
"Action & Adventure, Classic Movies",3
"Children & Family Movies, Comedies, Sci-Fi & Fantasy",3
"Comedies, Dramas, LGBTQ Movies",3
"Action & Adventure, Dramas, Sci-Fi & Fantasy",3
"Dramas, Sci-Fi & Fantasy",3
"Documentaries, Faith & Spirituality",3
"Dramas, Romantic Movies, Sports Movies",3
"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",3
"Dramas, Romantic Movies, Sci-Fi & Fantasy",3
"Comedies, Cult Movies, Horror Movies",3
"Comedies, Horror Movies, Independent Movies",3
"Comedies, Independent Movies, LGBTQ Movies",3
"Documentaries, International Movies, Sports Movies",2
"Classic Movies, Comedies, Dramas",2
"Children & Family Movies, Dramas, Sports Movies",2
"Comedies, Music & Musicals, Romantic Movies",2
"Children & Family Movies, Comedies, Sports Movies",2
"Horror Movies, Independent Movies, Sci-Fi & Fantasy",2
"Children & Family Movies, Documentaries, Sports Movies",2
"Independent Movies, Sci-Fi & Fantasy, Thrillers",2
"Comedies, Faith & Spirituality, Romantic Movies",2
"Comedies, International Movies, Romantic Movies",2
"Classic Movies, Comedies, Cult Movies",2
"Documentaries, Stand-Up Comedy",2
"Dramas, Sci-Fi & Fantasy, Thrillers",2
"Action & Adventure, Horror Movies, Thrillers",2
"Cult Movies, Horror Movies, Independent Movies",2
"Dramas, Music & Musicals, Romantic Movies",2
"Action & Adventure, Thrillers",2
"Action & Adventure, Classic Movies, Comedies",2
"Comedies, LGBTQ Movies",2
"Documentaries, LGBTQ Movies, Music & Musicals",2
"Classic Movies, Cult Movies, Horror Movies",2
"Comedies, Cult Movies, Dramas",2
"Comedies, Sci-Fi & Fantasy",2
"Classic Movies, Dramas, Music & Musicals",2
"Classic Movies, Comedies, Music & Musicals",2
"Dramas, Faith & Spirituality, Romantic Movies",2
"Romantic Movies",2
"Classic Movies, Dramas, Sports Movies",2
"Action & Adventure, Dramas, Sports Movies",2
"Comedies, Horror Movies, Sci-Fi & Fantasy",2
"Action & Adventure, Sports Movies",2
"Dramas, International Movies",1
"Cult Movies, Dramas, Music & Musicals",1
"Classic Movies, Music & Musicals",1
"Action & Adventure, International Movies",1
"Children & Family Movies, Faith & Spirituality, Music & Musicals",1
"Comedies, Romantic Movies, Sports Movies",1
"Comedies, Cult Movies, Music & Musicals",1
"Comedies, LGBTQ Movies, Music & Musicals",1
"Comedies, Cult Movies, Sci-Fi & Fantasy",1
"Action & Adventure, Dramas, International Movies",1
"Children & Family Movies, Classic Movies, Comedies",1
"Dramas, LGBTQ Movies, Romantic Movies",1
"Children & Family Movies, Dramas, Music & Musicals",1
"Horror Movies, Sci-Fi & Fantasy",1
"Comedies, Independent Movies, International Movies",1
"Documentaries, International Movies, Music & Musicals",1
"Children & Family Movies, Comedies, LGBTQ Movies",1
"Horror Movies, LGBTQ Movies, Music & Musicals",1
"Dramas, Horror Movies, Thrillers",1
"Action & Adventure, Dramas, Romantic Movies",1
"Action & Adventure, Comedies, Dramas",1
"Dramas, Faith & Spirituality, Independent Movies",1
"Comedies, International Movies",1
"Dramas, International Movies, Romantic Movies",1
"Comedies, Independent Movies, Music & Musicals",1
"Children & Family Movies, Comedies, Cult Movies",1
"Action & Adventure, Comedies, Sports Movies",1
"Comedies, Independent Movies, Thrillers",1
"Action & Adventure, Children & Family Movies, Dramas",1
"Action & Adventure, Children & Family Movies, Independent Movies",1
"Children & Family Movies, Independent Movies",1
"Classic Movies, Dramas, Romantic Movies",1
"Children & Family Movies, Classic Movies",1
"Documentaries, Faith & Spirituality, Music & Musicals",1
"Children & Family Movies, Comedies, Faith & Spirituality",1
"Cult Movies, Horror Movies, Thrillers",1
"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",1
"Independent Movies",1
"Comedies, Cult Movies, Sports Movies",1
"Action & Adventure, Horror Movies, Independent Movies",1
"Action & Adventure, Children & Family Movies",1
"Classic Movies, Dramas, LGBTQ Movies",1
"Classic Movies, Cult Movies, Dramas",1
"Action & Adventure, Cult Movies",1
"Classic Movies, Horror Movies, Thrillers",1
"Children & Family Movies, Classic Movies, Dramas",1
"Dramas, Faith & Spirituality, Sports Movies",1
"Children & Family Movies, Faith & Spirituality",1
"Classic Movies, Comedies, Sports Movies",1
"Comedies, Dramas, Sports Movies",1
"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy",1
"Comedies, Cult Movies, LGBTQ Movies",1
"Action & Adventure, Documentaries, Sports Movies",1
"Cult Movies, Dramas, Thrillers",1
"Documentaries, Dramas",1
